park,site,order,family,invert_count
GM,BER,collembola,Collembola,1
GM,BER,ephemeroptera,Baetidae,94
GM,BER,ephemeroptera,Ephemerellidae,4
GM,BER,ephemeroptera,Heptageniidae,4
GM,BER,ephemeroptera,Leptohyphidae,
GM,BER,ephemeroptera,Leptophlebiidae,3
GM,BER,odonata,Gomphidae,
GM,BER,plecoptera,Chloroperlidae,1
GM,BER,plecoptera,Leuctridae,16
GM,BER,plecoptera,Perlodidae,1
GM,BER,plecoptera,immature,1
GM,BER,trichoptera,Apataniidae,
GM,BER,trichoptera,Glossosomatidae,2
GM,BER,trichoptera,Hydropsychidae,
GM,BER,trichoptera,Hydroptilidae,
GM,BER,trichoptera,Lepidostomatidae,
GM,BER,trichoptera,Limnephilidae,
GM,BER,trichoptera,Odontoceridae,
GM,BER,trichoptera,Philopotamidae,1
GM,BER,trichoptera,Polycentropodidae,4
GM,BER,trichoptera,Rhyacophilidae,2
GM,BER,trichoptera,Uenoidae,
GM,BER,trichoptera,immature,
GM,BER,coleoptera,Dytiscidae,
GM,BER,coleoptera,Elmidae,44
GM,BER,diptera,Blebphariceridae,
GM,BER,diptera,Chironomidae,110
GM,BER,diptera,Ceratopogonidae,
GM,BER,diptera,Empididae,3
GM,BER,diptera,Nymphomyiidae,5
GM,BER,diptera,Simuliidae,7
GM,BER,diptera,Tipulidae,1
GM,BER,oligochaeta,Enchytraeidae,
GM,BER,oligochaeta,Lumbriculidae,
GM,BER,oligochaeta,Naididae,38
GM,BER,gastropoda,Physidae,
GM,BER,hirudinea,Hirudinea,
GM,BER,acarina,Hydryphantidae,2
GM,BER,acarina,Hygrobatidae,
GM,BER,acarina,Lebertiidae,
GM,BER,acarina,Sarcoptiformes,
GM,BER,acarina,Sperchontidae,1
GM,BER,acarina,Torrenticolidae,
GM,BER,amphipoda,Hyalellidae,
GM,BRY,collembola,Collembola,
GM,BRY,ephemeroptera,Baetidae,116
GM,BRY,ephemeroptera,Ephemerellidae,25
GM,BRY,ephemeroptera,Heptageniidae,2
GM,BRY,ephemeroptera,Leptohyphidae,
GM,BRY,ephemeroptera,Leptophlebiidae,2
GM,BRY,odonata,Gomphidae,
GM,BRY,plecoptera,Chloroperlidae,5
GM,BRY,plecoptera,Leuctridae,130
GM,BRY,plecoptera,Perlodidae,
GM,BRY,plecoptera,immature,
GM,BRY,trichoptera,Apataniidae,
GM,BRY,trichoptera,Glossosomatidae,4
