park,site,distance_upstream,canopy_cover
GM,MIT,0,4.3
GM,MIT,5,18.8
GM,MIT,10,27.8
GM,MIT,15,56.6
GM,MIT,20,79.2
GM,MIT,25,88.5
GM,MIT,30,89.4
GM,RHB,0,3.7
GM,RHB,5,7
GM,RHB,10,28.8
GM,RHB,15,0
GM,TUK,0,10.5
GM,TUK,5,63.2
GM,TUK,10,50.5
GM,TUK,15,50.8
GM,TUK,20,39.8
GM,TUK,25,50.8
GM,TUK,30,50.5
GM,TUK,35,63.2
GM,SLA,0,17
GM,SLA,5,94
GM,SLA,10,28.2
GM,SLA,15,27.7
GM,SLA,20,40.7
GM,SLA,25,28.7
GM,GMS,0,76.6
GM,GMS,5,90.9
GM,GMS,10,89.4
GM,BER,0,64.8
GM,BER,5,59.4
GM,BER,10,72.7
GM,BRY,0,5.1
GM,BRY,5,7.5
GM,BRY,10,14.1
GM,CCR,0,4.1
GM,CCR,5,20.9
GM,CCR,10,17.9
GM,CCR,15,12.7
GM,CCR,20,4.2
GM,CCR,25,11.3
GM,CCR,30,0
GM,MAS,0,20.5
GM,MAS,5,7.8
GM,MAS,10,14.7
GM,MAC,0,71.9
GM,MAC,5,75.7
GM,MAC,10,68.6
GM,MAC,15,42.5
GM,MAC,20,66
GM,WAT,0,66.3
GM,WAT,5,97
GM,WAT,10,95.2
GM,WAT,15,81.9
GM,WAT,20,80
GM,WAT,25,64
GM,HOR,0,73.9
GM,HOR,5,73.5
GM,HOR,10,42.2
GM,HOR,15,46.8
GM,HOR,20,42.5
GM,HOR,25,39.1
GM,HOR,30,39.3
GM,LOM,0,39.5
GM,LOM,5,4.6
GM,LOM,10,27.9
GM,LOM,15,29.2
GM,LOM,20,24
GM,LOM,25,25.4
GM,LOM,30,22.4
GM,HCT,0,25.3
GM,HCT,5,13.2
GM,HCT,10,0
GM,HCT,15,36.3
GM,HCT,20,14.3
GM,HCT,25,0
GM,HCT,30,0
TN,ARB,0,82
TN,ARB,5,85
TN,ARB,10,84
TN,ARB,15,93
TN,CHR,0,0
TN,CHR,5,0
TN,CHR,10,0.5
TN,CHR,15,0
TN,CHR,20,0.7
TN,CHR,25,1.3
TN,SAL,0,12.7
TN,SAL,5,0.6
TN,SAL,10,4
TN,SAL,15,8.8
TN,SAL,20,16.4
TN,SWR,0,1
TN,SWR,5,2.7
TN,SWR,10,5.2
TN,SWR,15,4.3
TN,SWR,20,19.5
TN,SWR,25,1
TN,SWR,30,1.7
TN,SWR,35,26.7
TN,SQR,0,56
TN,SQR,5,58
TN,SQR,10,89
TN,DAV,0,88
TN,DAV,5,86
TN,DAV,10,83
TN,DAV,15,70
TN,SPK,0,9.4
TN,SPK,5,14.5
TN,SPK,10,60.4
TN,RPS,0,62.5
TN,RPS,5,23.5
TN,RPS,10,3.8
TN,RPS,15,78.2
TN,RPS,20,10.1
TN,BIG,0,0
TN,BIG,5,0
TN,BIG,10,0.5
TN,BIG,15,52.1
TN,BIG,20,16.6
TN,BIG,25,4.2
TN,BIG,30,7.6
TN,BIG,35,1.9
TN,JUS,0,27.7
TN,JUS,5,33
TN,JUS,10,18.8
TN,JUS,15,58.7
TN,JUS,20,46.8
TN,BLD,0,84.5
TN,BLD,5,79.1
TN,BLD,10,85.3
TN,BLD,15,88.1
TN,BLD,20,70.5
TN,BFF,0,0
TN,BFF,5,0
TN,BFF,10,0
TN,BFF,15,0
TN,BFF,20,0
TN,BFF,25,0
TN,BFF,30,0
TN,BFF,35,0
TN,TIC,0,19.3
TN,TIC,5,22.2
TN,TIC,10,42.4
TN,TIC,15,38.9
TN,TIC,20,32.2
TN,TIC,25,27.9
TN,GTG,0,33.9
TN,GTG,5,29.4
TN,GTG,10,50.3
TN,GTG,15,39.7
