park,site,cross_section,distance_upstream,interval_across,depth,flow1,flow2,flow3,flow_distance,wetted_width
GM,MIT,1,1,1,0.09,3.11,3.35,3.25,2,4.82
GM,MIT,1,1,2,0.11,1.13,1.14,1.4,1,4.82
GM,MIT,1,1,3,0.07,2.74,3.13,2.76,2,4.82
GM,MIT,1,1,4,0.21,,,,,4.82
GM,MIT,2,8,1,0.39,,,,,5.24
GM,MIT,2,8,2,0.54,,,,,5.24
GM,MIT,2,8,3,0.27,,,,,5.24
GM,MIT,2,8,4,0.26,8.82,11.85,9.4,2.67,5.24
GM,MIT,3,18,1,0.19,2.85,2.92,2.4,2,1.84
GM,MIT,3,18,2,0.17,,,,,1.84
GM,SLA,1,8,1,0.12,3.09,2.23,2.71,2,4.14
GM,SLA,1,8,2,0.18,,,,,4.14
GM,SLA,1,8,3,0.16,,,,,4.14
GM,SLA,1,8,4,0.19,2.52,1.9,1.95,2,4.14
GM,SLA,2,15,1,0.29,,,,,6.01
GM,SLA,2,15,2,0.1,,,,,6.01
GM,SLA,2,15,3,0.15,2.42,2.62,5.13,2,6.01
GM,SLA,2,15,4,0.26,,,,,6.01
GM,SLA,3,22,1,0.11,,,,,4.92
GM,SLA,3,22,2,0.4,,,,,4.92
GM,SLA,3,22,3,0.22,2.48,2.27,2.42,2,4.92
GM,SLA,3,22,4,0.39,,,,,4.92
GM,GMS,1,1,1,0.08,,,,,0.73
GM,GMS,1,1,2,0.05,,,,,0.73
GM,GMS,2,6,1,0.13,1.77,1.22,1.41,2,0.43
GM,GMS,2,6,2,0.1,,,,,0.43
GM,GMS,3,8,1,0.07,2.07,2.32,2.48,2,0.48
GM,GMS,3,8,2,0.1,,,,,0.48
GM,BER,1,3,1,0.14,2.68,2.3,2.3,1,1.73
GM,BER,1,3,2,0.08,,,,,1.73
GM,BER,2,7,1,0.1,7.27,5.25,6.23,1,1.82
GM,BER,2,7,2,0.14,,,,,1.82
GM,BER,3,9,1,0.16,2.22,2.54,2.09,1,1.37
GM,BER,3,9,2,0.1,,,,,1.37
GM,BRY,1,3,1,0.19,1.81,1.91,1.8,1,1.5
GM,BRY,1,3,2,0.17,,,,,1.5
GM,BRY,2,6,1,0.12,2.53,1.47,1.81,1,2.3
GM,BRY,2,6,2,0.15,,,,,2.3
GM,BRY,3,9,1,0.16,1.28,1.95,1.69,1,1.81
GM,BRY,3,9,2,0.21,,,,,1.81
GM,TUK,1,8,1,0.17,2.34,2.27,2.5,2,8.27
GM,TUK,1,8,2,0.21,,,,,8.27
GM,TUK,1,8,3,0.24,,,,,8.27
GM,TUK,1,8,4,0.21,,,,,8.27
GM,TUK,1,8,5,0.26,,,,,8.27
GM,TUK,2,15,1,0.24,2.06,2.28,2.19,2,7.49
GM,TUK,2,15,2,0.37,,,,,7.49
GM,TUK,2,15,3,0.21,,,,,7.49
GM,TUK,2,15,4,0.35,,,,,7.49
GM,TUK,2,15,5,0.23,,,,,7.49
GM,TUK,3,35,1,0.17,2.29,2.61,2.61,2,5.67
GM,TUK,3,35,2,0.57,,,,,5.67
GM,TUK,3,35,3,0.55,,,,,5.67
GM,TUK,3,35,4,0.22,,,,,5.67
GM,CCR,3,35,5,0.32,,,,,5.67
GM,CCR,1,3,1,0.12,4.74,4.68,4.47,2,4.79
GM,CCR,1,3,2,0.01,,,,,4.79
GM,CCR,1,3,3,0.07,,,,,4.79
GM,CCR,1,3,4,0.08,,,,,4.79
GM,CCR,2,5,1,0.07,7.64,6.69,6.48,2,4.67
GM,CCR,2,5,2,0.01,,,,,4.67
GM,CCR,2,5,3,0.29,,,,,4.67
GM,CCR,2,5,4,0.27,,,,,4.67
GM,CCR,3,15,1,1,4.47,4.95,4,2,5.78
GM,CCR,3,15,2,0.01,,,,,5.78
GM,CCR,3,15,3,0.04,,,,,5.78
GM,CCR,3,15,4,0.14,,,,,5.78
GM,MAS,1,2,1,0.06,3.94,3.92,5.62,1,2.01
GM,MAS,1,2,2,0.09,,,,,2.01
GM,MAS,2,4,1,0.17,1.9,2.02,2.22,1,1.45
GM,MAS,2,4,2,0.08,,,,,1.45
GM,MAS,3,7,1,0.11,1.34,1.27,1.59,1,0.99
GM,MAS,3,7,2,0.16,,,,,0.99
GM,MAC,1,3,1,0.06,5,5.99,5.25,2,2.17
GM,MAC,1,3,2,0.02,,,,,2.17
GM,MAC,2,5,1,0.18,5.83,4.72,4.81,2,1.62
GM,MAC,2,5,2,0.18,,,,,1.62
GM,MAC,3,18,1,0.04,7.28,8.98,8.76,2,3.23
GM,MAC,3,18,2,0.12,,,,,3.23
GM,WAT,1,3,1,0.06,3.75,5.72,4,2,2.49
GM,WAT,1,3,2,0.13,,,,,2.49
GM,WAT,1,3,3,0.16,,,,,2.49
GM,WAT,2,9,1,,13.07,11.42,12.08,2,2.89
GM,WAT,2,9,2,,,,,,2.89
GM,WAT,2,9,3,,,,,,2.89
GM,WAT,3,20,1,0.19,5.32,5.27,5.67,2,3.57
GM,WAT,3,20,2,0.13,,,,,3.57
GM,WAT,3,20,3,0.04,,,,,3.57
GM,HOR,1,3,1,0.11,3.34,4.45,3.85,2,3.65
GM,HOR,1,3,2,0.01,,,,,3.65
GM,HOR,1,3,3,0.2,,,,,3.65
GM,HOR,1,3,4,0.12,,,,,3.65
GM,HOR,2,9,1,0.23,2.89,3.95,3.46,2,4.39
GM,HOR,2,9,2,0,,,,,4.39
GM,HOR,2,9,3,0,,,,,4.39
GM,HOR,2,9,4,0.09,,,,,4.39
GM,HOR,3,11,1,0.15,3.76,2.67,2.88,2,3.29
GM,HOR,3,11,2,0.19,,,,,3.29
GM,HOR,3,11,3,0.17,,,,,3.29
GM,LOM,1,4,1,0.13,7.61,6.23,7.33,2,6.47
GM,LOM,1,4,2,0.13,,,,,6.47
GM,LOM,1,4,3,0.43,,,,,6.47
GM,LOM,1,4,4,0.43,,,,,6.47
GM,LOM,2,6,1,0.16,2.27,2.61,2.39,2,8.4
GM,LOM,2,6,2,0.04,,,,,8.4
GM,LOM,2,6,3,0.02,,,,,8.4
GM,LOM,2,6,4,0.42,,,,,8.4
GM,LOM,3,20,1,0.1,4.12,4.41,3.57,2,6.42
GM,LOM,3,20,2,0.17,,,,,6.42
GM,LOM,3,20,3,0.24,,,,,6.42
GM,LOM,3,20,4,0.12,,,,,6.42
GM,HCT,1,2,1,0.22,4.09,3.45,3.47,2,2.42
GM,HCT,1,2,2,0.15,,,,,2.42
GM,HCT,1,2,3,0.17,,,,,2.42
GM,HCT,2,9,1,0.22,4.49,3.59,3.68,2,2.88
GM,HCT,2,9,2,0.35,,,,,2.88
GM,HCT,2,9,3,0.1,,,,,2.88
GM,HCT,3,16,1,0.32,5.26,4.87,5.11,2,6.29
GM,HCT,3,16,2,0.1,,,,,6.29
GM,HCT,3,16,3,0.09,,,,,6.29
GM,HCT,3,16,4,0.06,,,,,6.29
GM,RHB,1,1,1,0.23,2.13,2.01,1.84,2,4.53
GM,RHB,1,1,2,0.27,,,,,4.53
GM,RHB,1,1,3,0.18,,,,,4.53
GM,RHB,2,2,1,0.15,1.6,2.15,2.12,2,3.86
GM,RHB,2,2,2,0.19,,,,,3.86
GM,RHB,2,2,3,0.23,,,,,3.86
GM,RHB,3,14,1,0.3,4.77,5.57,4.07,2,3.67
GM,RHB,3,14,2,0.42,,,,,3.67
GM,RHB,3,14,3,0.4,,,,,3.67
TN,ARB,1,2,1,0.17,2.48,3.13,1.75,1,1.65
TN,ARB,1,2,2,0.08,,,,,1.65
TN,ARB,2,8,1,0.06,3.63,3.41,3.2,1,2.6
TN,ARB,2,8,2,0.12,,,,,2.6
TN,ARB,3,14,1,0.07,3.81,2.48,2.38,1,2.85
TN,ARB,3,14,2,0.08,,,,,2.85
TN,CHR,1,3,1,0.08,2.4,2.56,2.81,2,4.13
TN,CHR,1,3,2,0.16,,,,,4.13
TN,CHR,1,3,3,0.14,,,,,4.13
TN,CHR,2,8,1,0.26,3.65,3.66,4.97,2,3.88
TN,CHR,2,8,2,0.18,,,,,3.88
TN,CHR,2,8,3,0.17,,,,,3.88
TN,CHR,3,17,1,0.06,5.34,6.63,4.08,2,4.03
TN,CHR,3,17,2,0.12,,,,,4.03
TN,CHR,3,17,3,0.13,,,,,4.03
TN,SAL,1,2,1,0.13,2.3,1.81,1.58,1,3.1
TN,SAL,1,2,2,0.11,,,,,3.1
TN,SAL,1,2,3,0.06,,,,,3.1
TN,SAL,2,8,1,0.16,5.83,5.58,5.86,2,3.5
TN,SAL,2,8,2,0.17,,,,,3.5
TN,SAL,2,8,3,0.12,,,,,3.5
TN,SAL,3,17,1,0.19,5.05,8.76,8.16,2,3.7
TN,SAL,3,17,2,0.09,,,,,3.7
TN,SAL,3,17,3,0.23,,,,,3.7
TN,SQR,1,4,1,0.1,11.08,10.91,11.29,1,1.3
TN,SQR,1,4,2,0.14,,,,,1.3
TN,SQR,2,7,1,0.13,4.63,5.16,5.08,1,2.25
TN,SQR,2,7,2,0.03,,,,,2.25
TN,SQR,3,9,1,0.02,2.7,3.66,3.08,1,1.1
TN,SQR,3,9,2,0.05,,,,,1.1
TN,SWR,1,11,1,0.14,3.9,3.71,3.65,2,5.9
TN,SWR,1,11,2,0.24,,,,,5.9
TN,SWR,1,11,3,0.12,,,,,5.9
TN,SWR,1,11,4,0.11,,,,,5.9
TN,SWR,2,19,1,0.15,11.96,13.15,12.03,2,5.3
TN,SWR,2,19,2,0.23,,,,,5.3
TN,SWR,2,19,3,0.32,,,,,5.3
TN,SWR,2,19,4,0.3,,,,,5.3
TN,SWR,3,24,1,0.12,19.66,23.09,24.19,2,6.2
TN,SWR,3,24,2,0.24,,,,,6.2
TN,SWR,3,24,3,0.33,,,,,6.2
TN,SWR,3,24,4,0.41,,,,,6.2
TN,DAV,1,2,1,0.02,5.91,6.6,6.3,1,1.7
TN,DAV,1,2,2,0.05,,,,,1.7
TN,DAV,2,5,1,0.11,8.66,7.48,8.68,1,2.07
TN,DAV,2,5,2,0.06,,,,,2.07
TN,DAV,3,10,1,0.06,9.71,8.31,9.8,1,0.75
TN,DAV,3,10,2,0.1,,,,,0.75
