park,site,sample_number,date,injection_number,area,doc_mgl
TN,CHR,1,2022-09-24 18:30,1,363.7,17.89598957
TN,CHR,1,2022-09-24 18:35,2,352.7,17.34073184
TN,CHR,1,2022-09-24 18:39,3,352.4,17.32558845
TN,CHR,2,2022-09-24 18:47,1,342.9,16.84604768
TN,CHR,2,2022-09-24 18:52,2,339.5,16.67442257
TN,CHR,2,2022-09-24 18:56,3,331,16.24535978
TN,CHR,3,2022-09-24 19:04,1,377.1,18.57239443
TN,CHR,3,2022-09-24 19:09,2,375.6,18.49667747
TN,CHR,3,2022-09-24 19:14,3,373.2,18.37553033
TN,SAL,1,2022-09-24 19:26,1,230.6,11.17737108
TN,SAL,1,2022-09-24 19:31,2,229.8,11.1369887
TN,SAL,1,2022-09-24 19:36,3,235.2,11.40956977
TN,SAL,2,2022-09-24 19:49,1,329.3,16.15954722
TN,SAL,2,2022-09-24 19:53,2,323.1,15.84658378
TN,SAL,2,2022-09-24 19:58,3,322.1,15.7961058
TN,SAL,3,2022-09-24 20:06,1,436.9,21.59097734
TN,SAL,3,2022-09-24 20:10,2,439.7,21.73231567
TN,SAL,3,2022-09-24 20:15,3,448.5,22.17652185
TN,ARB,1,2022-09-24 20:23,1,395.7,19.51128477
TN,ARB,1,2022-09-24 20:28,2,399.9,19.72329226
TN,ARB,1,2022-09-24 20:33,3,400.9,19.77377024
TN,ARB,2,2022-09-24 20:41,1,505.9,25.07395762
TN,ARB,2,2022-09-24 20:46,2,508,25.17996137
TN,ARB,2,2022-09-24 20:51,3,513.6,25.46263803
TN,ARB,3,2022-09-24 20:59,1,452.9,22.39862494
TN,ARB,3,2022-09-24 21:04,2,453.7,22.43900732
TN,ARB,3,2022-09-24 21:09,3,465.7,23.04474302
TN,DAV,1,2022-09-24 21:22,1,281.5,13.74670001
TN,DAV,1,2022-09-24 21:27,2,279.2,13.63060067
TN,DAV,1,2022-09-24 21:31,3,276.8,13.50945353
TN,DAV,2,2022-09-24 22:05,1,250.8,12.19702618
TN,DAV,2,2022-09-24 22:09,2,251.7,12.24245636
TN,DAV,2,2022-09-24 22:14,3,255.1,12.41408147
TN,DAV,3,2022-09-24 22:21,1,218.6,10.57163538
TN,DAV,3,2022-09-24 22:26,2,217.8,10.531253
TN,DAV,3,2022-09-24 22:30,3,219.2,10.60192217
TN,DAV,blank,2022-09-24 22:38,1,231.2,11.20765787
TN,DAV,blank,2022-09-24 22:42,2,225.1,10.89974222
TN,DAV,blank,2022-09-24 22:46,3,233.1,11.30356602
TN,SWR,1,2022-09-24 22:55,1,423.3,20.90447688
TN,SWR,1,2022-09-24 22:59,2,423,20.88933349
TN,SWR,1,2022-09-24 23:04,3,429.8,21.23258372
TN,SWR,2,2022-09-24 23:16,1,347.2,17.06310298
TN,SWR,2,2022-09-24 23:21,2,345.7,16.98738601
TN,SWR,2,2022-09-24 23:26,3,348,17.10348536
TN,SWR,3,2022-09-24 23:39,1,364.5,17.93637195
TN,SWR,3,2022-09-24 23:44,2,361.8,17.80008141
TN,SWR,3,2022-09-24 23:48,3,353.1,17.36092303
TN,SQR,1,2022-09-24 23:57,1,569.2,28.26921344
