park,site,pebble_number,intermediate_axis,embeddedness
GM,MIT,1,8,
GM,MIT,2,5.5,
GM,MIT,3,6,
GM,MIT,4,6,
GM,MIT,5,7,
GM,MIT,6,11,
GM,MIT,7,7,
GM,MIT,8,6,
GM,MIT,9,6,
GM,MIT,10,7,25
GM,MIT,11,4,
GM,MIT,12,5,
GM,MIT,13,8,
GM,MIT,14,8,
GM,MIT,15,10,
GM,MIT,16,10,
GM,MIT,17,7,
GM,MIT,18,4,
GM,MIT,19,3,
GM,MIT,20,4,25
GM,MIT,21,6,
GM,MIT,22,7,
GM,MIT,23,3,
GM,MIT,24,3,
GM,MIT,25,4,
GM,MIT,26,3,
GM,MIT,27,5,
GM,MIT,28,2,
GM,MIT,29,4,
GM,MIT,30,11,75
GM,MIT,31,4,
GM,MIT,32,4,
GM,MIT,33,6,
GM,MIT,34,4,
GM,MIT,35,4,
GM,MIT,36,3,
GM,MIT,37,10,
GM,MIT,38,11,
GM,MIT,39,5,
GM,MIT,40,10,75
GM,MIT,41,11,
GM,MIT,42,8,
GM,MIT,43,7,
GM,MIT,44,7,
GM,MIT,45,6,
GM,MIT,46,4,
GM,MIT,47,2,
GM,MIT,48,5,
GM,MIT,49,7,
GM,MIT,50,5,0
GM,MIT,51,6,
GM,MIT,52,7,
GM,MIT,53,3,
GM,MIT,54,8,
GM,MIT,55,10,
GM,MIT,56,10,
GM,MIT,57,4,
GM,MIT,58,10,
GM,MIT,59,4,
GM,MIT,60,4,0
GM,MIT,61,6,
GM,MIT,62,12,
GM,MIT,63,6,
GM,MIT,64,8,
GM,MIT,65,3,
GM,MIT,66,3,
GM,MIT,67,3,
GM,MIT,68,7,
GM,MIT,69,9,
GM,MIT,70,4,25
GM,MIT,71,19,
GM,MIT,72,4,
GM,MIT,73,6,
GM,MIT,74,8,
GM,MIT,75,3,
GM,MIT,76,3,
GM,MIT,77,8,
GM,MIT,78,4,
GM,MIT,79,6,
GM,MIT,80,7,0
GM,MIT,81,6,
GM,MIT,82,11,
GM,MIT,83,7,
GM,MIT,84,6,
GM,MIT,85,6,
GM,MIT,86,2,
GM,MIT,87,3,
GM,MIT,88,11,
GM,MIT,89,6,
GM,MIT,90,12,0
GM,MIT,91,4,
GM,MIT,92,2,
GM,MIT,93,6,
GM,MIT,94,6,
GM,MIT,95,6,
GM,MIT,96,11,
GM,MIT,97,7,
GM,MIT,98,4,
GM,MIT,99,6,
GM,MIT,100,5,0
GM,SLA,1,13,
GM,SLA,2,4,
GM,SLA,3,9,
GM,SLA,4,8,
GM,SLA,5,3,
GM,SLA,6,2,
GM,SLA,7,11,
GM,SLA,8,7,
GM,SLA,9,3,
GM,SLA,10,5,25
GM,SLA,11,4,
GM,SLA,12,6,
GM,SLA,13,10,
GM,SLA,14,4,
GM,SLA,15,1,
GM,SLA,16,4,
GM,SLA,17,6,
GM,SLA,18,3,
GM,SLA,19,17,
GM,SLA,20,4,0
GM,SLA,21,6,
GM,SLA,22,15,
GM,SLA,23,2,
GM,SLA,24,5,
GM,SLA,25,5,
GM,SLA,26,6,
GM,SLA,27,5,
GM,SLA,28,19,
GM,SLA,29,10,
GM,SLA,30,3,75
GM,SLA,31,3,
GM,SLA,32,3,
GM,SLA,33,2,
GM,SLA,34,8,
GM,SLA,35,8,
GM,SLA,36,7,
GM,SLA,37,2,
GM,SLA,38,3,
GM,SLA,39,1,
GM,SLA,40,4,25
GM,SLA,41,9,
GM,SLA,42,7,
GM,SLA,43,4,
GM,SLA,44,4,
GM,SLA,45,10,
GM,SLA,46,11,
GM,SLA,47,5,
GM,SLA,48,3,
GM,SLA,49,2,
GM,SLA,50,1,50
GM,SLA,51,9,
GM,SLA,52,6,
GM,SLA,53,5,
GM,SLA,54,3,
GM,SLA,55,2,
GM,SLA,56,4,
GM,SLA,57,6,
GM,SLA,58,2,
GM,SLA,59,3,
GM,SLA,60,1,25
GM,SLA,61,2,
GM,SLA,62,3,
GM,SLA,63,4,
GM,SLA,64,2,
GM,SLA,65,4,
GM,SLA,66,3,
GM,SLA,67,1,
GM,SLA,68,3,
GM,SLA,69,2,
GM,SLA,70,1,25
GM,SLA,71,6,
GM,SLA,72,3,
GM,SLA,73,7,
GM,SLA,74,4,
GM,SLA,75,3,
GM,SLA,76,21,
GM,SLA,77,17,
GM,SLA,78,4,
GM,SLA,79,6,
GM,SLA,80,4,25
GM,SLA,81,3,
GM,SLA,82,13,
GM,SLA,83,3,
GM,SLA,84,9,
GM,SLA,85,15,
GM,SLA,86,6,
GM,SLA,87,5,
GM,SLA,88,8,
GM,SLA,89,3,
GM,SLA,90,6,75
GM,SLA,91,4,
GM,SLA,92,2,
GM,SLA,93,5,
GM,SLA,94,4,
GM,SLA,95,2,
GM,SLA,96,3,
GM,SLA,97,2,
GM,SLA,98,2,
GM,SLA,99,3,
GM,SLA,100,2,45
GM,RHB,1,3,
GM,RHB,2,4,
GM,RHB,3,5,
GM,RHB,4,3,
GM,RHB,5,4,
GM,RHB,6,5,
GM,RHB,7,5,
GM,RHB,8,4,
GM,RHB,9,5,
GM,RHB,10,6,50
GM,RHB,11,2,
GM,RHB,12,5,
GM,RHB,13,6,
GM,RHB,14,6,
GM,RHB,15,3,
GM,RHB,16,3,
GM,RHB,17,6,
GM,RHB,18,4,
GM,RHB,19,5,
GM,RHB,20,3,50
GM,RHB,21,2,
GM,RHB,22,4,
GM,RHB,23,4,
GM,RHB,24,7,
GM,RHB,25,2,
GM,RHB,26,1,
GM,RHB,27,1,
GM,RHB,28,5,
GM,RHB,29,5,
GM,RHB,30,4,25
GM,RHB,31,5,
GM,RHB,32,7,
GM,RHB,33,6,
GM,RHB,34,5,
GM,RHB,35,5,
GM,RHB,36,3,
GM,RHB,37,6,
GM,RHB,38,5,
GM,RHB,39,3,
GM,RHB,40,6,25
GM,RHB,41,6,
GM,RHB,42,7,
GM,RHB,43,4,
GM,RHB,44,4,
GM,RHB,45,3,
GM,RHB,46,5,
GM,RHB,47,7,
GM,RHB,48,1,
GM,RHB,49,1,
GM,RHB,50,4,50
GM,RHB,51,4,
GM,RHB,52,1,
GM,RHB,53,2,
GM,RHB,54,2,
GM,RHB,55,2,
GM,RHB,56,4,
GM,RHB,57,4,
GM,RHB,58,2,
GM,RHB,59,3,
GM,RHB,60,2,25
GM,RHB,61,3,
GM,RHB,62,3,
GM,RHB,63,3,
GM,RHB,64,4,
GM,RHB,65,3,
GM,RHB,66,4,
GM,RHB,67,2,
GM,RHB,68,2,
GM,RHB,69,3,
GM,RHB,70,2,50
GM,RHB,71,5,
GM,RHB,72,3,
GM,RHB,73,2,
GM,RHB,74,2,
GM,RHB,75,3,
GM,RHB,76,2,
GM,RHB,77,2,
GM,RHB,78,2,
GM,RHB,79,4,
GM,RHB,80,3,25
GM,RHB,81,3,
GM,RHB,82,3,
GM,RHB,83,3,
GM,RHB,84,5,
GM,RHB,85,5,
GM,RHB,86,3,
GM,RHB,87,3,
GM,RHB,88,5,
GM,RHB,89,4,
GM,RHB,90,2,25
GM,RHB,91,3,
GM,RHB,92,3,
GM,RHB,93,3,
GM,RHB,94,3,
GM,RHB,95,3,
GM,RHB,96,2,
GM,RHB,97,2,
GM,RHB,98,5,
GM,RHB,99,2,
GM,RHB,100,3,25
GM,TUK,1,4,
GM,TUK,2,6,
GM,TUK,3,7,
GM,TUK,4,5,
GM,TUK,5,8,
GM,TUK,6,8,
GM,TUK,7,9,
GM,TUK,8,11,
GM,TUK,9,8,
GM,TUK,10,5,25
GM,TUK,11,12,
GM,TUK,12,8,
GM,TUK,13,7,
GM,TUK,14,7,
GM,TUK,15,13,
GM,TUK,16,6,
GM,TUK,17,9,
GM,TUK,18,9,
GM,TUK,19,8,
GM,TUK,20,7,75
GM,TUK,21,8,
GM,TUK,22,6,
GM,TUK,23,9,
GM,TUK,24,8,
GM,TUK,25,7,
GM,TUK,26,8,
GM,TUK,27,5,
GM,TUK,28,4,
GM,TUK,29,8,
GM,TUK,30,10,0
GM,TUK,31,7,
GM,TUK,32,5,
GM,TUK,33,7,
GM,TUK,34,4,
GM,TUK,35,6,
GM,TUK,36,9,
GM,TUK,37,7,
GM,TUK,38,9,
GM,TUK,39,5,
GM,TUK,40,11,50
GM,TUK,41,7,
GM,TUK,42,8,
GM,TUK,43,6,
GM,TUK,44,4,
GM,TUK,45,7,
GM,TUK,46,3,
GM,TUK,47,6,
GM,TUK,48,5,
GM,TUK,49,8,
GM,TUK,50,4,50
GM,TUK,51,8,
GM,TUK,52,6,
GM,TUK,53,7,
GM,TUK,54,6,
GM,TUK,55,7,
GM,TUK,56,5,
GM,TUK,57,4,
GM,TUK,58,7,
GM,TUK,59,6,
GM,TUK,60,8,75
GM,TUK,61,6,
GM,TUK,62,6,
GM,TUK,63,3,
GM,TUK,64,4,
GM,TUK,65,7,
GM,TUK,66,5,
GM,TUK,67,7,
GM,TUK,68,6,
GM,TUK,69,4,
GM,TUK,70,4,0
GM,TUK,71,7,
GM,TUK,72,7,
GM,TUK,73,4,
GM,TUK,74,8,
GM,TUK,75,6,
GM,TUK,76,10,
GM,TUK,77,6,
GM,TUK,78,5,
GM,TUK,79,6,
GM,TUK,80,10,25
GM,TUK,81,7,
GM,TUK,82,11,
GM,TUK,83,8,
GM,TUK,84,5,
GM,TUK,85,6,
GM,TUK,86,9,
GM,TUK,87,7,
GM,TUK,88,5,
GM,TUK,89,4,
GM,TUK,90,7,25
GM,TUK,91,9,
GM,TUK,92,4,
GM,TUK,93,4,
GM,TUK,94,55,
GM,TUK,95,6,
GM,TUK,96,6,
GM,TUK,97,7,
GM,TUK,98,8,
GM,TUK,99,7,
GM,TUK,100,6,25
GM,GMS,1,3,
GM,GMS,2,13,
GM,GMS,3,4,
GM,GMS,4,3,
GM,GMS,5,5,
GM,GMS,6,5,
GM,GMS,7,3,
GM,GMS,8,3,
GM,GMS,9,6,
GM,GMS,10,2,0
GM,GMS,11,5,
GM,GMS,12,5,
GM,GMS,13,4,
GM,GMS,14,3,
GM,GMS,15,7,
GM,GMS,16,6,
GM,GMS,17,8,
GM,GMS,18,5,
GM,GMS,19,3,
GM,GMS,20,5,50
GM,GMS,21,15,
GM,GMS,22,7,
GM,GMS,23,5,
GM,GMS,24,2,
GM,GMS,25,13,
GM,GMS,26,1,
GM,GMS,27,4,
GM,GMS,28,5,
GM,GMS,29,7,
GM,GMS,30,6,75
GM,GMS,31,2,
GM,GMS,32,4,
GM,GMS,33,4,
GM,GMS,34,2,
GM,GMS,35,8,
GM,GMS,36,4,
GM,GMS,37,6,
GM,GMS,38,6,
GM,GMS,39,7,
GM,GMS,40,13,25
GM,GMS,41,4,
GM,GMS,42,7,
GM,GMS,43,9,
GM,GMS,44,3,
GM,GMS,45,2,
GM,GMS,46,11,
GM,GMS,47,20,
GM,GMS,48,6,
GM,GMS,49,8,
GM,GMS,50,6,0
GM,GMS,51,6,
GM,GMS,52,11,
GM,GMS,53,15,
GM,GMS,54,11,
GM,GMS,55,10,
GM,GMS,56,4,
GM,GMS,57,3,
GM,GMS,58,6,
GM,GMS,59,3,
GM,GMS,60,5,0
GM,GMS,61,8,
GM,GMS,62,6,
GM,GMS,63,4,
GM,GMS,64,1,
GM,GMS,65,5,
GM,GMS,66,10,
GM,GMS,67,3,
GM,GMS,68,4,
GM,GMS,69,4,
GM,GMS,70,4,50
GM,GMS,71,9,
GM,GMS,72,15,
GM,GMS,73,5,
GM,GMS,74,7,
GM,GMS,75,3,
GM,GMS,76,11,
GM,GMS,77,5,
GM,GMS,78,2,
GM,GMS,79,4,
GM,GMS,80,5,0
GM,GMS,81,6,
GM,GMS,82,2,
GM,GMS,83,2,
GM,GMS,84,6,
GM,GMS,85,2,
GM,GMS,86,1,
GM,GMS,87,6,
GM,GMS,88,6,
GM,GMS,89,7,
GM,GMS,90,3,50
GM,GMS,91,8,
GM,GMS,92,6,
GM,GMS,93,3,
GM,GMS,94,5,
GM,GMS,95,5,
GM,GMS,96,3,
GM,GMS,97,14,
GM,GMS,98,6,
GM,GMS,99,3,
GM,GMS,100,7,75
GM,MAC,1,6,
GM,MAC,2,9,
GM,MAC,3,9,
GM,MAC,4,10,
GM,MAC,5,4,
GM,MAC,6,7,
GM,MAC,7,8,
GM,MAC,8,4,
GM,MAC,9,3,
GM,MAC,10,6,75
GM,GMS,11,9,
GM,MAC,12,9,
GM,MAC,13,4,
GM,MAC,14,7,
GM,MAC,15,9,
GM,MAC,16,5,
GM,MAC,17,4,
GM,MAC,18,6,
GM,MAC,19,10,
GM,MAC,20,4,75
GM,MAC,21,4,
GM,MAC,22,8,
GM,MAC,23,14,
GM,MAC,24,10,
GM,MAC,25,6,
GM,MAC,26,6,
GM,MAC,27,7,
GM,MAC,28,8,
GM,MAC,29,5,
GM,MAC,30,9,25
GM,MAC,31,9,
GM,MAC,32,7,
GM,MAC,33,3,
GM,MAC,34,6,
GM,MAC,35,10,
GM,MAC,36,3,
GM,MAC,37,9,
GM,MAC,38,5,
GM,MAC,39,6,
GM,MAC,40,13,25
GM,MAC,41,5,
GM,MAC,42,7,
GM,MAC,43,7,
GM,MAC,44,7,
GM,MAC,45,9,
GM,MAC,46,6,
GM,MAC,47,5,
GM,MAC,48,6,
GM,MAC,49,9,
GM,MAC,50,4,NA
GM,MAC,51,10,
GM,MAC,52,6,
GM,MAC,53,7,
GM,MAC,54,6,
GM,MAC,55,10,
GM,MAC,56,11,
GM,MAC,57,5,
GM,MAC,58,7,
GM,MAC,59,10,
GM,MAC,60,5,0
GM,MAC,61,6,
GM,MAC,62,12,
GM,MAC,63,12,
GM,MAC,64,14,
GM,MAC,65,7,
GM,MAC,66,5,
GM,MAC,67,9,
GM,MAC,68,4,
GM,MAC,69,4,
GM,MAC,70,15,75
GM,MAC,71,10,
GM,MAC,72,9,
GM,MAC,73,5,
GM,MAC,74,7,
GM,MAC,75,4,
GM,MAC,76,7,
GM,MAC,77,8,
GM,MAC,78,4,
GM,MAC,79,12,
GM,MAC,80,4,25
GM,MAC,81,6,
GM,MAC,82,13,
GM,MAC,83,7,
GM,MAC,84,6,
GM,MAC,85,3,
GM,MAC,86,6,
GM,MAC,87,10,
GM,MAC,88,5,
GM,MAC,89,7,
GM,MAC,90,9,50
GM,MAC,91,9,
GM,MAC,92,7,
GM,MAC,93,4,
GM,MAC,94,7,
GM,MAC,95,7,
GM,MAC,96,7,
GM,MAC,97,7,
GM,MAC,98,9,
GM,MAC,99,5,
GM,MAC,100,5,25
GM,LOM,1,5,
GM,LOM,2,5,
GM,LOM,3,6,
GM,LOM,4,5,
GM,LOM,5,3,
GM,LOM,6,11,
GM,LOM,7,6,
GM,LOM,8,4,
GM,LOM,9,8,
GM,LOM,10,8,0
GM,LOM,11,10,
GM,LOM,12,6,
GM,LOM,13,7,
GM,LOM,14,5,
GM,LOM,15,5,
GM,LOM,16,7,
GM,LOM,17,4,
GM,LOM,18,9,
GM,LOM,19,6,
GM,LOM,20,12,50
GM,LOM,21,7,
GM,LOM,22,5,
GM,LOM,23,6,
GM,LOM,24,6,
GM,LOM,25,6,
GM,LOM,26,4,
GM,LOM,27,6,
GM,LOM,28,6,
GM,LOM,29,7,
GM,LOM,30,5,25
GM,LOM,31,8,
GM,LOM,32,6,
GM,LOM,33,7,
GM,LOM,34,9,
GM,LOM,35,5,
GM,LOM,36,5,
GM,LOM,37,6,
GM,LOM,38,6,
GM,LOM,39,7,
GM,LOM,40,16,50
GM,LOM,41,9,
GM,LOM,42,14,
GM,LOM,43,12,
GM,LOM,44,3,
GM,LOM,45,4,
GM,LOM,46,4,
GM,LOM,47,7,
GM,LOM,48,5,
GM,LOM,49,8,
GM,LOM,50,4,75
GM,LOM,51,7,
GM,LOM,52,5,
GM,LOM,53,6,
GM,LOM,54,5,
GM,LOM,55,5,
GM,LOM,56,6,
GM,LOM,57,4,
GM,LOM,58,8,
GM,LOM,59,5,
GM,LOM,60,4,50
GM,LOM,61,6,
GM,LOM,62,6,
GM,LOM,63,6,
GM,LOM,64,9,
GM,LOM,65,7,
GM,LOM,66,7,
GM,LOM,67,3,
GM,LOM,68,6,
GM,LOM,69,5,
GM,LOM,70,5,0
GM,LOM,71,8,
GM,LOM,72,6,
GM,LOM,73,6,
GM,LOM,74,8,
GM,LOM,75,6,
GM,LOM,76,7,
GM,LOM,77,9,
GM,LOM,78,6,
GM,LOM,79,6,
GM,LOM,80,7,25
GM,LOM,81,6,
GM,LOM,82,3,
GM,LOM,83,4,
GM,LOM,84,3,
GM,LOM,85,4,
GM,LOM,86,16,
GM,LOM,87,4,
GM,LOM,88,7,
GM,LOM,89,3,
GM,LOM,90,4,25
GM,LOM,91,14,
GM,LOM,92,9,
GM,LOM,93,6,
GM,LOM,94,8,
GM,LOM,95,7,
GM,LOM,96,5,
GM,LOM,97,6,
GM,LOM,98,9,
GM,LOM,99,7,
GM,LOM,100,4,25
GM,MAS,1,11,
GM,MAS,2,14,
GM,MAS,3,6,
GM,MAS,4,5,
GM,MAS,5,8,
GM,MAS,6,2,
GM,MAS,7,6,
GM,MAS,8,4,
GM,MAS,9,5,
GM,MAS,10,6,50
GM,MAS,11,3,
GM,MAS,12,5,
GM,MAS,13,5,
GM,MAS,14,2,
GM,MAS,15,4,
GM,MAS,16,5,
GM,MAS,17,2,
GM,MAS,18,5,
GM,MAS,19,5,
GM,MAS,20,5,25
