park,site,sample_number,date,injection_number,analysis,area,tn_mgl
TN,CHR,1,2022-09-24 18:30,1,TN,34.72,1.18724518
TN,CHR,1,2022-09-24 18:35,2,TN,34.18,1.168122648
TN,CHR,1,2022-09-24 18:39,3,TN,33.76,1.153249567
TN,CHR,2,2022-09-24 18:47,1,TN,27.85,0.943964073
TN,CHR,2,2022-09-24 18:52,2,TN,27.62,0.935819291
TN,CHR,2,2022-09-24 18:56,3,TN,27.87,0.944672315
TN,CHR,3,2022-09-24 19:09,2,TN,31.58,1.076051195
TN,CHR,3,2022-09-24 19:14,3,TN,31.87,1.086320703
TN,CHR,3,2022-09-24 19:18,4,TN,32.12,1.095173728
TN,SAL,1,2022-09-24 19:26,1,TN,26.39,0.892262412
TN,SAL,1,2022-09-24 19:31,2,TN,27,0.913863791
TN,SAL,1,2022-09-24 19:41,4,TN,26.53,0.897220105
TN,SAL,2,2022-09-24 19:49,1,TN,35.73,1.223011398
TN,SAL,2,2022-09-24 19:53,2,TN,35.18,1.203534745
TN,SAL,2,2022-09-24 19:58,3,TN,34.96,1.195744083
TN,SAL,3,2022-09-24 20:06,1,TN,42.16,1.450711182
TN,SAL,3,2022-09-24 20:10,2,TN,41.32,1.42096502
TN,SAL,3,2022-09-24 20:15,3,TN,41.59,1.430526286
TN,ARB,1,2022-09-24 20:23,1,TN,27.54,0.932986323
TN,ARB,1,2022-09-24 20:28,2,TN,27.71,0.93900638
TN,ARB,1,2022-09-24 20:33,3,TN,27.89,0.945380557
TN,ARB,2,2022-09-24 20:41,1,TN,38.77,1.330664173
TN,ARB,2,2022-09-24 20:46,2,TN,38.94,1.336684229
TN,ARB,2,2022-09-24 20:51,3,TN,39.91,1.371033963
TN,ARB,3,2022-09-24 20:59,1,TN,36,1.232572664
TN,ARB,3,2022-09-24 21:09,3,TN,36.6,1.253819922
TN,ARB,3,2022-09-24 21:14,4,TN,35.76,1.224073761
TN,DAV,1,2022-09-24 21:22,1,TN,51.18,1.770128297
TN,DAV,1,2022-09-24 21:27,2,TN,51.76,1.790667313
TN,DAV,1,2022-09-24 21:31,3,TN,51.67,1.787480224
TN,DAV,2,2022-09-24 22:05,1,TN,43.77,1.507724658
TN,DAV,2,2022-09-24 22:09,2,TN,43.78,1.508078779
TN,DAV,2,2022-09-24 22:14,3,TN,43.42,1.495330424
TN,DAV,3,2022-09-24 22:21,1,TN,38.37,1.316499334
TN,DAV,3,2022-09-24 22:26,2,TN,38.94,1.336684229
TN,DAV,3,2022-09-24 22:30,3,TN,39.05,1.34057956
TN,DAV,blank,2022-09-24 22:38,1,TN,25.18,0.849413774
TN,DAV,blank,2022-09-24 22:42,2,TN,25.36,0.855787952
TN,DAV,blank,2022-09-24 22:46,3,TN,25.77,0.870306912
TN,SWR,1,2022-09-24 22:55,1,TN,37.66,1.291356745
TN,SWR,1,2022-09-24 22:59,2,TN,36.96,1.266568277
TN,SWR,1,2022-09-24 23:04,3,TN,37.31,1.278962511
TN,SWR,2,2022-09-24 23:16,1,TN,28.45,0.965211332
TN,SWR,2,2022-09-24 23:21,2,TN,27.37,0.926966267
TN,SWR,2,2022-09-24 23:31,4,TN,28.11,0.953171219
TN,SWR,3,2022-09-24 23:39,1,TN,35.14,1.202118261
TN,SWR,3,2022-09-24 23:44,2,TN,35.35,1.209554801
TN,SWR,3,2022-09-24 23:48,3,TN,35.65,1.22017843
TN,SQR,1,2022-09-24 23:57,1,TN,48.18,1.663892006
TN,SQR,1,2022-09-25 0:02,2,TN,47.85,1.652206014
TN,SQR,1,2022-09-25 0:06,3,TN,48.09,1.660704917
TN,SQR,2,2022-09-25 0:14,1,TN,29.72,1.010184695
TN,SQR,2,2022-09-25 0:19,2,TN,29.62,1.006643485
TN,SQR,2,2022-09-25 0:24,3,TN,29.71,1.009830574
TN,SQR,3,2022-09-25 0:32,1,TN,37.65,1.291002624
TN,SQR,3,2022-09-25 0:37,2,TN,38.16,1.309062794
TN,SQR,3,2022-09-25 0:42,3,TN,37.78,1.295606197
TN,SPK,1,2022-09-25 0:50,1,TN,23.22,0.780006064
TN,SPK,1,2022-09-25 0:55,2,TN,22.75,0.763362379
TN,SPK,1,2022-09-25 1:00,3,TN,22.48,0.753801112
TN,SPK,2,2022-09-25 1:25,1,TN,21.48,0.718389015
TN,SPK,2,2022-09-25 1:29,2,TN,20.97,0.700328846
TN,SPK,2,2022-09-25 1:34,3,TN,21.12,0.70564066
TN,SPK,3,2022-09-25 1:42,1,TN,21.05,0.703161814
TN,SPK,3,2022-09-25 1:47,2,TN,21.05,0.703161814
TN,SPK,3,2022-09-25 1:52,3,TN,20.83,0.695371152
TN,SPK,blank,2022-09-25 1:59,1,TN,12.18,0.389056513
TN,SPK,blank,2022-09-25 2:04,2,TN,12.63,0.404991957
TN,SPK,blank,2022-09-25 2:08,3,TN,12.45,0.398617779
TN,RPS,1,2022-09-25 2:16,1,TN,19.1,0.634108225
TN,RPS,1,2022-09-25 2:22,2,TN,18.9,0.627025805
TN,RPS,1,2022-09-25 2:27,3,TN,18.78,0.622776353
TN,RPS,2,2022-09-25 2:35,1,TN,18.3,0.605778547
TN,RPS,2,2022-09-25 2:39,2,TN,18.31,0.606132668
TN,RPS,2,2022-09-25 2:44,3,TN,18.63,0.617464539
