"extent","model","model_num","k","delta_aicc","log_likelihood","adj_r2","% lake","% wetland","(intercept)","canopy","forest disturbance","human impact","road density","substrate size","wetted width"
"catchment","invertebrate biomass","null",2,3.32892665580579,0.271630456952036,0,NA,NA,"0.25 ( 0.05 )",NA,NA,NA,NA,NA,NA
"catchment","invertebrate biomass","1",5,2.98207072015915,4.56869478841172,0.172337760290642,NA,NA,"0.43 ( 0.14 )",NA,"0.01 ( 0.16 )",NA,NA,"0.03 ( 0.21 )","-0.48 ( 0.17 )"
"catchment","invertebrate biomass","2",5,2.21310493587991,4.95317768055134,0.194758619212882,NA,NA,"0.38 ( 0.13 )",NA,NA,NA,"0.13 ( 0.15 )","0.04 ( 0.2 )","-0.47 ( 0.17 )"
"catchment","invertebrate biomass","3",5,2.93773635569499,4.5908619706438,0.173647219030567,NA,NA,"0.44 ( 0.13 )",NA,NA,"-0.03 ( 0.16 )",NA,"0.03 ( 0.21 )","-0.49 ( 0.17 )"
"catchment","invertebrate biomass","4",6,5.24359425439754,5.07429665765616,0.166986087845957,NA,NA,"0.39 ( 0.14 )",NA,NA,"-0.07 ( 0.17 )","0.15 ( 0.16 )","0.04 ( 0.21 )","-0.47 ( 0.17 )"
"catchment","invertebrate biomass","5",6,5.41397410711491,4.98910673129747,0.161901749173401,NA,NA,"0.4 ( 0.14 )",NA,"-0.04 ( 0.17 )",NA,"0.14 ( 0.17 )","0.05 ( 0.21 )","-0.47 ( 0.17 )"
"catchment","invertebrate biomass","6",6,6.2087685745571,4.59170949757638,0.137771036134193,NA,NA,"0.43 ( 0.15 )",NA,"0.01 ( 0.17 )","-0.03 ( 0.17 )",NA,"0.03 ( 0.21 )","-0.48 ( 0.18 )"
"catchment","invertebrate biomass","7",7,8.65145091666381,5.17036832652302,0.135077555130677,NA,NA,"0.42 ( 0.15 )",NA,"-0.07 ( 0.19 )","-0.1 ( 0.18 )","0.18 ( 0.18 )","0.06 ( 0.22 )","-0.48 ( 0.18 )"
"catchment","invertebrate biomass","8",4,0,4.56565900224623,0.205271938243651,NA,NA,"0.43 ( 0.12 )",NA,NA,NA,NA,"0.03 ( 0.2 )","-0.48 ( 0.16 )"
"catchment","invertebrate biomass","9",3,5.58748174102663,0.402352914341615,-0.0288102212782178,NA,NA,"0.21 ( 0.09 )",NA,"0.09 ( 0.18 )",NA,NA,NA,NA
"catchment","invertebrate biomass","10",3,4.56202452416168,0.915081522774088,0.00818676682607999,NA,NA,"0.2 ( 0.07 )",NA,NA,NA,"0.19 ( 0.17 )",NA,NA
"catchment","invertebrate biomass","11",3,5.84568746095414,0.273250054377861,-0.0383414104363162,NA,NA,"0.25 ( 0.06 )",NA,NA,"-0.01 ( 0.18 )",NA,NA,NA
"catchment","EPT index","null",2,0,-2.33111815569543,0,NA,NA,"0.43 ( 0.05 )",NA,NA,NA,NA,NA,NA
"catchment","EPT index","1",5,4.10472721650187,-0.259845400309997,0.0297145945110141,NA,NA,"0.13 ( 0.16 )",NA,"0.22 ( 0.19 )",NA,NA,"0.23 ( 0.25 )","0.21 ( 0.2 )"
"catchment","EPT index","2",5,4.42956327378899,-0.422263428953559,0.0183924857781137,NA,NA,"0.15 ( 0.16 )",NA,NA,NA,"0.19 ( 0.19 )","0.27 ( 0.25 )","0.2 ( 0.2 )"
"catchment","EPT index","3",5,5.37259614442217,-0.893779864270146,-0.0152308396274812,NA,NA,"0.24 ( 0.15 )",NA,NA,"-0.09 ( 0.19 )",NA,"0.26 ( 0.25 )","0.16 ( 0.2 )"
