spatial_extent,model,model_number,predictor,estimate,log_likelihood,delta_aic,aic,adjusted_r2
catchment,invertebrate biomass,null,intercept,0.25 (0.05),0.271630457,1.11582172,3.936739086,0
catchment,invertebrate biomass,1,intercept,0.43 (0.14),4.568694788,0.768965784,3.58988315,0.17233776
catchment,invertebrate biomass,1,forest disturbance,0.01 (0.16),4.568694788,0.768965784,3.58988315,0.17233776
catchment,invertebrate biomass,1,wetted width,-0.48 (0.17),4.568694788,0.768965784,3.58988315,0.17233776
catchment,invertebrate biomass,1,substrate size,0.03 (0.21),4.568694788,0.768965784,3.58988315,0.17233776
catchment,invertebrate biomass,2,intercept,0.38 (0.13),4.953177681,0,2.820917366,0.194758619
catchment,invertebrate biomass,2,road density,0.13 (0.15),4.953177681,0,2.820917366,0.194758619
catchment,invertebrate biomass,2,wetted width,-0.47 (0.17),4.953177681,0,2.820917366,0.194758619
catchment,invertebrate biomass,2,substrate size,0.04 (0.2),4.953177681,0,2.820917366,0.194758619
catchment,invertebrate biomass,3,intercept,0.44 (0.13),4.590861971,0.72463142,3.545548786,0.173647219
catchment,invertebrate biomass,3,human impact,-0.03 (0.16),4.590861971,0.72463142,3.545548786,0.173647219
catchment,invertebrate biomass,3,wetted width,-0.49 (0.17),4.590861971,0.72463142,3.545548786,0.173647219
catchment,invertebrate biomass,3,substrate size,0.03 (0.21),4.590861971,0.72463142,3.545548786,0.173647219
catchment,invertebrate biomass,4,intercept,0.39 (0.14),5.074296658,3.030489319,5.851406685,0.166986088
catchment,invertebrate biomass,4,road density,0.15 (0.16),5.074296658,3.030489319,5.851406685,0.166986088
catchment,invertebrate biomass,4,human impact,-0.07 (0.17),5.074296658,3.030489319,5.851406685,0.166986088
catchment,invertebrate biomass,4,wetted width,-0.47 (0.17),5.074296658,3.030489319,5.851406685,0.166986088
catchment,invertebrate biomass,4,substrate size,0.04 (0.21),5.074296658,3.030489319,5.851406685,0.166986088
catchment,invertebrate biomass,5,intercept,0.4 (0.14),4.989106731,3.200869171,6.021786537,0.161901749
catchment,invertebrate biomass,5,forest disturbance,-0.04 (0.17),4.989106731,3.200869171,6.021786537,0.161901749
catchment,invertebrate biomass,5,road density,0.14 (0.17),4.989106731,3.200869171,6.021786537,0.161901749
catchment,invertebrate biomass,5,wetted width,-0.47 (0.17),4.989106731,3.200869171,6.021786537,0.161901749
catchment,invertebrate biomass,5,substrate size,0.05 (0.21),4.989106731,3.200869171,6.021786537,0.161901749
catchment,invertebrate biomass,6,intercept,0.43 (0.15),4.591709498,3.995663639,6.816581005,0.137771036
catchment,invertebrate biomass,6,forest disturbance,0.01 (0.17),4.591709498,3.995663639,6.816581005,0.137771036
